Tissue,Cell Type,Cell Count,Tissue Composition,Sex,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
brain,male,6952,0.00%,male,RP11-219A15.1,1.761864895,0.138850494,45
brain,male,6952,0.00%,male,LINC01609,2.019015206,0.235810014,9
brain,male,6952,0.00%,male,PHYHIP,1.84994758,0.172062412,243
brain,male,6952,0.00%,male,RP11-745L13.2,1.798224166,0.152559898,37
brain,female,1786,0.00%,female,SLC26A3,1.932590277,0.20322316,440
brain,female,1786,0.01%,female,RASGEF1B,2.096319823,0.264958019,654
brain,female,1786,0.00%,female,RP11-701H24.9,1.879996139,0.183392337,363
brain,female,1786,,female,LINGO3,,,
brain,female,1786,0.00%,female,PDE4DIP,1.98726298,0.223837714,150
brain,female,1786,0.00%,female,AC159540.1,1.989896334,0.224830631,26
brain,female,1786,0.00%,female,RP11-289H16.1,1.90064403,0.191177704,28
brain,female,1786,0.00%,female,RP11-219A15.1,1.83479045,0.166347357,26
brain,female,1786,0.00%,female,LINC01609,1.967197691,0.216272019,14
brain,female,1786,0.00%,female,PHYHIP,1.827188952,0.163481183,232
brain,female,1786,0.00%,female,RP11-745L13.2,1.884658287,0.185150218,29
brain,male,298,0.00%,male,SLC26A3,2.022535677,0.237137421,27
brain,male,298,0.00%,male,RASGEF1B,2.240275392,0.319237023,109
brain,male,298,,male,RP11-701H24.9,,,
brain,male,298,,male,LINGO3,,,
brain,male,298,0.00%,male,PDE4DIP,1.776286732,0.144288304,11
brain,male,298,0.00%,male,AC159540.1,1.83000424,0.164542698,38
brain,male,298,0.00%,male,RP11-289H16.1,1.910837274,0.195021106,38
brain,male,298,0.00%,male,RP11-219A15.1,2.04991293,0.24746012,4
brain,male,298,0.00%,male,LINC01609,2.110547458,0.270322604,17
brain,male,298,,male,PHYHIP,,,
brain,male,298,0.00%,male,RP11-745L13.2,1.792422136,0.15037222,6
brain,female,241,0.00%,female,SLC26A3,2.24331665,0.320383741,61
brain,female,241,0.00%,female,RASGEF1B,2.761312837,0.515696207,206
brain,female,241,,female,RP11-701H24.9,,,
brain,female,241,0.00%,female,LINGO3,2.115222136,0.272085209,3
brain,female,241,0.00%,female,PDE4DIP,1.990716553,0.225139897,15
brain,female,241,0.00%,female,AC159540.1,2.187507312,0.299340614,6
brain,female,241,0.00%,female,RP11-289H16.1,2.193540437,0.301615428,14
brain,female,241,0.00%,female,RP11-219A15.1,2.048820019,0.247048034,2
brain,female,241,0.00%,female,LINC01609,2.101732254,0.266998797,24
brain,female,241,,female,PHYHIP,,,
brain,female,241,0.00%,female,RP11-745L13.2,2.169221878,0.292446021,2
brain,female,1933,0.00%,female,SLC26A3,1.783835456,0.14713458,21
brain,female,1933,0.00%,female,RASGEF1B,1.862558899,0.176817558,50
brain,female,1933,,female,RP11-701H24.9,,,
brain,female,1933,0.00%,female,LINGO3,1.703058481,0.116677308,4
brain,female,1933,0.01%,female,PDE4DIP,2.086106646,0.261107101,1045
brain,female,1933,,female,AC159540.1,,,
brain,female,1933,,female,RP11-289H16.1,,,
brain,female,1933,,female,RP11-219A15.1,,,
brain,female,1933,0.00%,female,LINC01609,1.937556863,0.205095831,1
brain,female,1933,0.00%,female,PHYHIP,1.739782227,0.130524139,18
brain,female,1933,,female,RP11-745L13.2,,,
brain,male,1884,0.00%,male,SLC26A3,1.771589398,0.142517156,4
brain,male,1884,0.00%,male,RASGEF1B,1.730096022,0.126871918,48
brain,male,1884,,male,RP11-701H24.9,,,
brain,male,1884,0.00%,male,LINGO3,1.555128978,0.060899917,13
brain,male,1884,0.01%,male,PDE4DIP,2.112655194,0.271117334,1267
brain,male,1884,,male,AC159540.1,,,
brain,male,1884,,male,RP11-289H16.1,,,
brain,male,1884,,male,RP11-219A15.1,,,
brain,male,1884,,male,LINC01609,,,
brain,male,1884,0.00%,male,PHYHIP,1.622272355,0.086216587,14
brain,male,1884,,male,RP11-745L13.2,,,
brain,female,149,,female,SLC26A3,,,
brain,female,149,0.00%,female,RASGEF1B,2.555215359,0.437986356,2
brain,female,149,,female,RP11-701H24.9,,,
brain,female,149,,female,LINGO3,,,
brain,female,149,0.00%,female,PDE4DIP,2.569419384,0.443342039,4
brain,female,149,,female,AC159540.1,,,
brain,female,149,,female,RP11-289H16.1,,,
brain,female,149,,female,RP11-219A15.1,,,
brain,female,149,,female,LINC01609,,,
brain,female,149,,female,PHYHIP,,,
brain,female,149,,female,RP11-745L13.2,,,
brain,male,57,,male,SLC26A3,,,
brain,male,57,,male,RASGEF1B,,,
brain,male,57,,male,RP11-701H24.9,,,
brain,male,57,,male,LINGO3,,,
brain,male,57,0.00%,male,PDE4DIP,2.462116718,0.402883154,1
brain,male,57,,male,AC159540.1,,,
brain,male,57,,male,RP11-289H16.1,,,
brain,male,57,,male,RP11-219A15.1,,,
brain,male,57,,male,LINC01609,,,
brain,male,57,,male,PHYHIP,,,
brain,male,57,,male,RP11-745L13.2,,,
brain,male,184245,0.16%,male,SLC26A3,2.344561373,0.358558456,14809
brain,male,184245,0.33%,male,RASGEF1B,2.614992226,0.460525455,30029
brain,male,184245,0.06%,male,RP11-701H24.9,1.85849562,0.175285483,5768
brain,male,184245,0.03%,male,LINGO3,1.71217582,0.120115036,3035
brain,male,184245,0.31%,male,PDE4DIP,1.938351219,0.205395346,27970
brain,male,184245,0.02%,male,AC159540.1,1.941283176,0.206500851,1581
brain,male,184245,0.01%,male,RP11-289H16.1,1.972013387,0.218087796,1194
brain,male,184245,0.02%,male,RP11-219A15.1,1.910644193,0.194948304,1444
brain,male,184245,0.04%,male,LINC01609,2.667049663,0.480153913,3721
brain,male,184245,0.04%,male,PHYHIP,1.888183998,0.186479601,3626
brain,male,184245,0.04%,male,RP11-745L13.2,1.953442323,0.211085505,3256
brain,female,50239,0.08%,female,SLC26A3,2.23773315,0.318278461,7273
brain,female,50239,0.14%,female,RASGEF1B,2.685365512,0.487059975,12783
brain,female,50239,0.03%,female,RP11-701H24.9,1.833936189,0.166025255,2432
brain,female,50239,0.01%,female,LINGO3,1.804444345,0.154905241,867
brain,female,50239,0.16%,female,PDE4DIP,2.005993753,0.230900225,14520
brain,female,50239,0.01%,female,AC159540.1,1.840500188,0.168500236,739
brain,female,50239,0.01%,female,RP11-289H16.1,1.82244873,0.161693864,580
brain,female,50239,0.01%,female,RP11-219A15.1,1.834622164,0.166283904,654
brain,female,50239,0.00%,female,LINC01609,1.920087566,0.198508965,177
brain,female,50239,0.01%,female,PHYHIP,1.884210015,0.184981195,1222
brain,female,50239,0.02%,female,RP11-745L13.2,1.892929449,0.188268892,1804
brain,male,183911,0.16%,male,SLC26A3,2.34487634,0.358677215,14781
brain,male,183911,0.33%,male,RASGEF1B,2.615496776,0.460715698,29989
brain,male,183911,0.06%,male,RP11-701H24.9,1.85578785,0.174264508,5729
brain,male,183911,0.03%,male,LINGO3,1.711337955,0.119799116,3030
brain,male,183911,0.31%,male,PDE4DIP,1.938198448,0.205337743,27947
brain,male,183911,0.02%,male,AC159540.1,1.941317006,0.206513607,1573
brain,male,183911,0.01%,male,RP11-289H16.1,1.972319369,0.218203168,1182
brain,male,183911,0.02%,male,RP11-219A15.1,1.910044876,0.194722329,1438
brain,male,183911,0.04%,male,LINC01609,2.667721981,0.480407413,3716
brain,male,183911,0.04%,male,PHYHIP,1.888011307,0.186414487,3622
brain,male,183911,0.04%,male,RP11-745L13.2,1.953350764,0.211050982,3255
brain,female,50140,0.08%,female,SLC26A3,2.237643602,0.318244697,7267
brain,female,50140,0.14%,female,RASGEF1B,2.684994549,0.486920102,12755
brain,female,50140,0.03%,female,RP11-701H24.9,1.833936189,0.166025255,2432
brain,female,50140,0.01%,female,LINGO3,1.804444345,0.154905241,867
brain,female,50140,0.16%,female,PDE4DIP,2.005993753,0.230900225,14520
brain,female,50140,0.01%,female,AC159540.1,1.840500188,0.168500236,739
brain,female,50140,0.01%,female,RP11-289H16.1,1.818030039,0.160027779,576
brain,female,50140,0.01%,female,RP11-219A15.1,1.834622164,0.166283904,654
brain,female,50140,0.00%,female,LINC01609,1.920087566,0.198508965,177
brain,female,50140,0.01%,female,PHYHIP,1.884210015,0.184981195,1222
brain,female,50140,0.02%,female,RP11-745L13.2,1.892929449,0.188268892,1804
brain,male,11766,0.00%,male,SLC26A3,1.877703797,0.182528,301
brain,male,11766,0.01%,male,RASGEF1B,1.802806704,0.154287762,1016
brain,male,11766,0.00%,male,RP11-701H24.9,1.987648661,0.223983137,129
brain,male,11766,0.00%,male,LINGO3,1.717918396,0.122280297,10
brain,male,11766,0.00%,male,PDE4DIP,1.678893935,0.107565973,283
brain,male,11766,0.00%,male,AC159540.1,1.607876006,0.080788388,42
brain,male,11766,0.00%,male,RP11-289H16.1,1.680519223,0.108178794,2
brain,male,11766,,male,RP11-219A15.1,,,
brain,male,11766,0.00%,male,LINC01609,1.603827286,0.079261802,10
brain,male,11766,0.00%,male,PHYHIP,1.740575317,0.130823176,157
brain,male,11766,0.00%,male,RP11-745L13.2,1.767471313,0.140964416,45
brain,female,3052,0.00%,female,SLC26A3,1.987876329,0.22406898,149
brain,female,3052,0.00%,female,RASGEF1B,1.951992935,0.210539007,178
brain,female,3052,0.00%,female,RP11-701H24.9,2.030704189,0.24021739,74
brain,female,3052,0.00%,female,LINGO3,1.763946397,0.139635333,7
brain,female,3052,0.00%,female,PDE4DIP,1.635378432,0.091158284,87
brain,female,3052,0.00%,female,AC159540.1,1.624969074,0.087233395,28
brain,female,3052,0.00%,female,RP11-289H16.1,1.578827143,0.069835402,2
brain,female,3052,,female,RP11-219A15.1,,,
brain,female,3052,0.00%,female,LINC01609,1.540343952,0.055325166,5
brain,female,3052,0.00%,female,PHYHIP,1.826168634,0.163096468,113
brain,female,3052,0.00%,female,RP11-745L13.2,1.689091047,0.111410833,6
brain,male,158991,0.12%,male,SLC26A3,2.37059386,0.368374106,10768
brain,male,158991,0.20%,male,RASGEF1B,2.610784251,0.458938822,18638
brain,male,158991,0.02%,male,RP11-701H24.9,2.060803905,0.251566605,1932
brain,male,158991,0.01%,male,LINGO3,1.813883122,0.158464168,953
brain,male,158991,0.10%,male,PDE4DIP,1.930454524,0.202417866,9116
brain,male,158991,0.02%,male,AC159540.1,1.871012169,0.180004896,1619
brain,male,158991,0.02%,male,RP11-289H16.1,2.109571353,0.26995456,2064
brain,male,158991,0.01%,male,RP11-219A15.1,1.917821375,0.197654489,1042
brain,male,158991,0.03%,male,LINC01609,2.59879366,0.454417723,2638
brain,male,158991,0.04%,male,PHYHIP,1.985235158,0.223073116,3490
brain,male,158991,0.02%,male,RP11-745L13.2,1.894395131,0.188821533,1790
brain,female,48231,0.04%,female,SLC26A3,2.270223538,0.330529088,3875
brain,female,48231,0.08%,female,RASGEF1B,2.404871278,0.381298539,7552
brain,female,48231,0.01%,female,RP11-701H24.9,1.937662887,0.205135807,643
brain,female,48231,0.00%,female,LINGO3,1.879803998,0.18331989,333
brain,female,48231,0.05%,female,PDE4DIP,1.9709664,0.217693026,4874
brain,female,48231,0.01%,female,AC159540.1,1.83507135,0.166453271,911
brain,female,48231,0.01%,female,RP11-289H16.1,1.806961048,0.155854173,1325
brain,female,48231,0.01%,female,RP11-219A15.1,1.897183945,0.189873066,706
brain,female,48231,0.00%,female,LINC01609,1.826379468,0.163175964,167
brain,female,48231,0.01%,female,PHYHIP,1.916984745,0.197339034,1181
brain,female,48231,0.01%,female,RP11-745L13.2,1.79817857,0.152542706,657
brain,male,11,,male,SLC26A3,,,
brain,male,11,,male,RASGEF1B,,,
brain,male,11,,male,RP11-701H24.9,,,
brain,male,11,,male,LINGO3,,,
brain,male,11,,male,PDE4DIP,,,
brain,male,11,,male,AC159540.1,,,
brain,male,11,,male,RP11-289H16.1,,,
brain,male,11,,male,RP11-219A15.1,,,
brain,male,11,,male,LINC01609,,,
brain,male,11,,male,PHYHIP,,,
brain,male,11,,male,RP11-745L13.2,,,
brain,male,190,0.00%,male,SLC26A3,1.827831562,0.163723481,13
brain,male,190,0.00%,male,RASGEF1B,2.077731257,0.257949128,23
brain,male,190,0.00%,male,RP11-701H24.9,1.98917741,0.224559558,26
brain,male,190,0.00%,male,LINGO3,1.529383063,0.05119232,1
brain,male,190,0.00%,male,PDE4DIP,2.779289484,0.522474372,2
brain,male,190,,male,AC159540.1,,,
brain,male,190,0.00%,male,RP11-289H16.1,2.143266201,0.282659332,2
brain,male,190,,male,RP11-219A15.1,,,
brain,male,190,0.00%,male,LINC01609,2.76651597,0.517658069,1
brain,male,190,0.00%,male,PHYHIP,2.192724815,0.301307894,13
brain,male,190,0.00%,male,RP11-745L13.2,1.526557326,0.050126865,1
brain,female,84,0.00%,female,SLC26A3,2.173302737,0.293984725,11
brain,female,84,0.00%,female,RASGEF1B,2.248826599,0.322461289,30
brain,female,84,0.00%,female,RP11-701H24.9,2.045419693,0.245765928,8
brain,female,84,,female,LINGO3,,,
brain,female,84,,female,PDE4DIP,,,
brain,female,84,0.00%,female,AC159540.1,1.6116817,0.08222334,1
brain,female,84,0.00%,female,RP11-289H16.1,2.135671377,0.279795675,4
brain,female,84,,female,RP11-219A15.1,,,
brain,female,84,0.00%,female,LINC01609,1.6116817,0.08222334,1
brain,female,84,0.00%,female,PHYHIP,2.089736938,0.262475917,8
brain,female,84,,female,RP11-745L13.2,,,
